,title,link,date,section,text
15,Drama as Protest: ‘Our Complacency Is Dangerous’,https://www.nytimes.com/2017/01/25/theater/wallace-shawn-evening-at-the-talk-house.html?searchResultPosition=103,2017/01/25,THEATER,"An autocratic leader has won the vote. He has charm, yes, and smarts of a kind, but also a cruel streak. Beatings are frequent, and assassination — foreign and domestic — has become commonplace. His cultural pronouncements have had a chilling effect on the arts, theater in particular. Take your seat for “Evening at the Talk House,” an ultra-dark comedy by the playwright and actor Wallace Shawn (“The Designated Mourner,” “Aunt Dan and Lemon”) for the New Group that begins performances at the Signature Center on Tuesday, Jan. 31. Though written years before Donald J. Trump announced his candidacy, and first produced in London in the fall of 2015, the play may strike some as oddly prescient. Set in the course of one night, it eavesdrops on several people who worked together on “Midnight in a Clearing With Moon and Stars,” a fictitious flop from a decade ago. They have gathered for a reunion at a rundown club. As they snack and sip and reminisce, they reveal the brutality of the world outside and the ways that artists can abet it, resist it and ignore it. The London production stoked controversy, with The Independent approvingly describing a “disturbing, balefully hilarious new play,” while many other critics attacked its tone, pace and politics. More than a year later, in the wake of Brexit and the presidential election, that controversy is likely to resonate anew. On the morning of President Trump’s inauguration, Mr. Shawn, who also appears in the play, the director Scott Elliott and the other members of the cast — Matthew Broderick, Jill Eikenberry, John Epperson, Larry Pine, Claudia Shear, Annapurna Sriram and Michael Tucker — gathered at a rehearsal space to discuss drama as protest and whether or not to invite the president. These are edited excerpts from the conversation.  Is this a political play? MICHAEL TUCKER Yes. It’s other things, too. But it’s most certainly political. "
16,States Vie to Be Part of Trillion-Dollar Infrastructure Spending Sprees,https://www.nytimes.com/2017/01/25/us/donald-trump-infrastructure-spending-trillion-dollars-states.html?searchResultPosition=89,2017/01/25,U.S.,"New Jersey wants a railroad tunnel under the Hudson River, California wants high-speed rail linking north and south, Florida wants improved seaports, and most everyone wants highways and bridges. President Trump and congressional Democrats have proposed trillion-dollar infrastructure spending sprees, and among their most ardent allies are the nation’s governors, Republicans and Democrats, who cite years of pent-up demand for fixing or expanding old assets and building new ones. “Every single governor in this nation has roads, bridges, tunnels and airports, and we want to work together, because we need to replace them, and we need to repair them,” Gov. Terry McAuliffe of Virginia, a Democrat, said on Wednesday at a National Governors Association meeting in Washington. Last month, the Trump transition team asked the governors association to collect wish lists from the states, with an emphasis on “shovel ready” projects that are far enough along in engineering, approval and even construction to begin using the money quickly, and those that enhance national security and economic competitiveness, especially in manufacturing. The president has expressed a preference for partnerships between government and private industry, used in projects like toll roads that can attract private investors with a steady stream of revenue. Forty states and some territories have submitted lists, containing more than 300 projects, to the governors association. The group declined to make the lists public, but several states were willing to describe their submissions. The Trump team drafted a list, first reported by the McClatchy newspapers, of 50 big items that it planned to consider. Though preliminary, the list gives an idea of the scale and range of ideas the administration is looking for. It includes long-discussed projects like digging the Hudson tunnel, replacing or repairing dilapidated bridges and highways, replacing outdated river locks that hinder commercial barge traffic, fixing old dams, building rail lines and airports, and creating a satellite-guided air traffic control system. It also contains newer plans like modernizing the electricity grid and storing water underground in arid areas. "
17,Trump’s Voter Fraud Example? A Troubled Tale With Bernhard Langer,https://www.nytimes.com/2017/01/25/us/politics/trump-bernhard-langer-voting-fraud.html?searchResultPosition=98,2017/01/25,POLITICS,"WASHINGTON — On Monday, President Trump gathered House and Senate leaders in the State Dining Room for a get-to-know-you reception, served them tiny meatballs and pigs-in-a-blanket, and quickly launched into a story meant to illustrate what he believes to be rampant, unchecked voter fraud. Mr. Trump kicked off the meeting, participants said, by retelling his debunked claim that he would have won the popular vote if not for the three million to five million ballots cast by “illegals.” He followed it up with a Twitter post early Wednesday calling for a major investigation into voter fraud. When one of the Democrats protested, Mr. Trump said he was told a story by “the very famous golfer, Bernhard Langer,” whom he described as a friend, according to three staff members who were in the room for the meeting. In the emerging Trump era, the story was a memorable example, for the legislators and the country, of how an off-the-cuff yarn — unverifiable and of confusing origin — became a prime policy mover for a president whose fact-gathering owes more to the oral tradition than the written word. The three witnesses recalled Mr. Langer being the protagonist of the story, although a White House official claimed the president had been telling a story relayed to the golfer by one of Mr. Langer’s friends. The witnesses described the story this way: Mr. Langer, a 59-year-old native of Bavaria, Germany — a winner of the Masters twice and of more than 100 events on major professional golf tours around the world — was standing in line at a polling place near his home in Florida on Election Day, the president explained, when an official informed Mr. Langer he would not be able to vote. "
18,A Punch List for Public Repairs,https://www.nytimes.com/2017/01/25/us/donald-trump-infrastructure-punch-list-public-repairs.html?searchResultPosition=88,2017/01/25,U.S.,"President Trump promised in his inaugural address to invest in “new roads and highways and bridges and airports and tunnels and railways all across our wonderful nation.” We asked readers to make a wish list for the infrastructure projects most needed where they live. Here are selected responses, edited lightly for clarity. What would you suggest? Please fill out this form. "
19,"Donald Trump, Mary Tyler Moore, North Korea: Your Wednesday Evening Briefing",https://www.nytimes.com/2017/01/25/briefing/donald-trump-mary-tyler-moore-north-korea.html?searchResultPosition=97,2017/01/25,BRIEFING,"(Want to get this briefing by email? Here’s the sign-up.) Good evening. Here’s the latest. 1. Donald J. Trump’s presidency continued at a breakneck pace, as he acted to fulfill campaign promises and reverse policies of the Obama administration. He signed an order to start building a border wall with Mexico, and planned to indefinitely block Syrian refugees while temporarily halting the admission of refugees from elsewhere in the world. (His homeland security secretary has said that a wall alone would not work.) Mr. Trump is considering reopening overseas “black site” prisons and undoing restrictions on handling detainees. And reiterating his false claim that millions of illegal immigrants voted for Hillary Clinton, he called for an investigation into voter fraud even though his own legal team, when arguing against earlier recount petitions, said no such fraud had occurred. "
20,The Redemption Narrative in the 2017 Oscar Nominations,https://www.nytimes.com/2017/01/25/movies/hollywood-oscars-la-la-land-diversity-redemption.html?searchResultPosition=99,2017/01/25,MOVIES,"“La La Land” reigns triumphant, Mel Gibson’s arc of redemption is complete, Amy Adams’s snub has a silver lining, and, most notably of all, a record number of black artists — across multiple categories — received Oscar nominations this year. That, very roughly, is the lay of the land this awards season, now that the Oscar nominations have been announced. So let’s delve in, getting the biggest categories and surprises out of the way before heading to the broader story behind this year’s list of finalists. If it wasn’t official before — and it pretty much was — “La La Land” is poised to sail smoothly on to a best picture win, having nabbed 14 nominations, tying the previous record holders and best picture winners “All About Eve” (1950) and “Titanic” (1997). Emma Stone, a star of “La La Land,” has the edge for best actress; Casey Affleck appears on track for best actor for “Manchester by the Sea”; Mahershala Ali of “Moonlight” remains a favorite for the best supporting actor statuette; and the same goes for Viola Davis, for supporting actress for her role in “Fences.” In the category of best comeback, Mr. Gibson is the hands-down winner. Long on the outs in Hollywood for his drunken anti-Semitic and misogynist rants, Mr. Gibson, now sober (for 10 years, he says) and repentant, has found himself back in Tinseltown’s warm embrace: The World War II feature he directed, “Hacksaw Ridge,” landed six nominations, including one for best director. It could be argued that once you’re in Hollywood, you’re in, so long as you repent, which helps explain the woes of Nate Parker, whose ill-starred “The Birth of a Nation” was supposed to be his entry. Meanwhile, the best actress category, probably the most competitive of the season, held the biggest surprises and snubs. For reasons that remain inexplicable to the Bagger, Annette Bening failed to land a nomination for her nuanced, heartfelt performance in “20th Century Women.” But in a heartening turn, Ruth Negga did, for her lead role in “Loving,” the quiet, true-story film that was otherwise overlooked by the Academy of Motion Picture Arts and Sciences, among other prize givers, this year. "
21,"Sent Home for Not Wearing Heels, She Ignited a British Rebellion",https://www.nytimes.com/2017/01/25/world/europe/high-heels-british-inquiry-dress-codes-women.html?searchResultPosition=100,2017/01/25,EUROPE,"LONDON — When Nicola Thorp reported to work awhile back as a temporary receptionist in the financial center here, she was shocked when her temp supervisor said her flat shoes were unacceptable. She would need to get herself shoes with heels at least two inches high. When she refused, she was sent home from the accounting firm PwC without pay. But that was not the end of it. Five months later, Ms. Thorp, an actress originally from the northern seaside city of Blackpool, started a petition calling for a law that would make sure no company could ever again demand that a woman wear heels to work. The petition garnered more than 150,000 signatures, helped spur a popular backlash — dozens of professional women posted photographs of themselves on Twitter defiantly wearing flats — and prompted an inquiry overseen by two parliamentary committees. On Wednesday, more than two years after Ms. Thorp, now 28, strode into that office in her chic but sensible black flats, the committees released a report concluding that Portico, the outsourcing firm that had insisted she wear high heels, had broken the law. It added that existing law needed to be toughened to overcome outmoded and sexist workplace codes. During the investigation, the committees received hundreds of complaints from women whose companies had demanded that they “dye their hair blonde,” “wear revealing outfits” or “constantly reapply makeup.” “Discriminatory dress codes remain widespread,” the report said. Ms. Thorp lauded the inquiry’s conclusion, saying it was all the more imperative in the Trump era, when men around the world had a role model in the White House who had boasted about behaving badly toward women. "
22,"Reagan, Trump, and Manufacturing",https://krugman.blogs.nytimes.com/2017/01/25/reagan-trump-and-manufacturing/?searchResultPosition=102,2017/01/25,OPINION,
23,"The Dow Hit 20,000. Now What?",https://www.nytimes.com/2017/01/25/business/dealbook/dow-20000-stock-market-milestone.html?searchResultPosition=101,2017/01/25,DEALBOOK,"Yes, it is just another number. But in an industry that lives and dies by the power (seen and unseen) of sums in all their varieties, that the Dow Jones industrial average closed above 20,000 on Wednesday was enough to give even the most hardened stock market watchers reason to smile. The Dow finished the day at 20,068.51. “It blows me away,” said Jim Paulsen, chief market strategist at Wells Fargo Asset Management. “I can remember when people wondered if we would ever get through Dow 1,000. It’s amazing — we are up 20-fold in my career.” And that is a big deal, Mr. Paulsen explained, because it means that for all the worry and doubts that have sprung from the market collapses in 1987, 2000 and 2008, if investors just held to a core portfolio of large American stocks they would have done pretty well. Of course, the usual caveats apply. In percentage terms, the Dow going from 10,000 (which it hit in March 1999) to 20,000 is less meaningful than the journey from 1,000, which it reached in 1972. It is also true that the Dow represents just 30 companies — including stalwarts like Goldman Sachs, Apple and Walmart — compared with the 500 that make up the Standard & Poor’s index or the 2,000 of the Russell market tracker. And in today’s E.T.F.-driven marketplace, where indexes of every stripe are used to entice investors looking for cheap and predictable returns, the Dow as an index for exchange-traded funds has been more or less ignored, compared withfunds that follow the S.&P. 500 and Russell 2000. "
24,"In Race Against Fake News, Google and Facebook Stroll to the Starting Line",https://www.nytimes.com/2017/01/25/technology/google-facebook-fake-news.html?searchResultPosition=95,2017/01/25,TECHNOLOGY,"SAN FRANCISCO — Google and Facebook have been taking steps to curb the number of false news articles propagated across their sites. On Wednesday, the Silicon Valley companies showed that they were still in the early stages of their battle to limit misinformation online. In a blog post, Google said it had permanently banned nearly 200 publishers from its AdSense advertising network near the end of last year, after putting into effect a policy in November to choke off websites that try to deceive users from its online ad service. On the same day, Facebook introduced changes to its Trending Topics feature — a part of the social network that some have blamed for spreading false information — to better promote reliable news articles. Yet taken together, the efforts showed how the fight against fake news remains a work in progress. Google’s bans were a drop in the bucket compared with the almost two million publishers that use AdSense. Facebook’s new measures were part of a continuing series of small experiments by the company to find out what worked best in displaying news to its users. “We genuinely asked Google and Facebook for ‘moonshots,’” said Jason Kint, the chief executive of Digital Content Next, an online publishing industry group. “We appreciate the work, but based on the numbers, that’s hardly even running in place.” Google and Facebook have been in something of a no-win situation in recent months when it comes to fake news. Both companies have been grappling with a widespread backlash over how their sites may have spread rumors on a vast scale, and how little responsibility they take for any of the content that appears on their platforms. The issue came to a head after the American presidential election, when commentators accused Facebook in particular of swaying voters to President Trump through misleading and untrue news articles. "
25,"Corrections: January 25, 2017",https://www.nytimes.com/2017/01/25/pageoneplus/corrections-january-25-2017.html?searchResultPosition=94,2017/01/25,CORRECTIONS,"INTERNATIONAL An article on Jan. 17 about a ruling by India’s election commission granting a politician, Akhilesh Yadav, the right to use an image of a bicycle as an election symbol for his party misspelled the surname of a former commission chief. He is S.Y. Quraishi, not Qureshi. • Because of an editing error, the Lecce Journal article on Jan. 4, about a class that teaches inmates at the Lecce Penitentiary in southern Italy how to be sommeliers, referred imprecisely to negroamaro. It is a grape native to the Apulia region, not a group of grape varieties. NATIONAL An article on Monday about racial disparities in the rates of deaths from cervical cancer referred incorrectly to the human papillomavirus vaccine. It can prevent some — not all — cases of cervical cancer. • An article on Saturday about the Trump administration’s moves to take down and archive online information from the Obama administration on climate change misstated part of the name of one of the government agencies whose website was affected. It is the United States Geological Survey (not Services). BUSINESS DAY The DealBook column on Tuesday, about corporate bosses’ efforts to appeal to President Trump, referred incorrectly to the manufacturing company Foxconn, which said it might spend $7 billion in the United States to build a factory. Foxconn is based in Taiwan, not China. THE ARTS "
