,text
10,"Good morning. Here’s what you need to know: • A van crashed into pedestrians in a popular tourist area in Barcelona, killing at least 13 people in an attack for which the Islamic State claimed responsibility. At least 80 others have been injured in the worst terrorist attack in Spain since 2004. Two people have been taken into custody. Early Friday, the police reported killing four people in Cambrils, a seaside town south of Barcelona, in what Spanish news media said may have been an attempted second attack. Here’s the latest news on this developing story. _____ • Conflicting messages by the Trump administration have deepened confusion over the United States’ strategy for North Korea. "
11,"This was supposed to be a big week for infrastructure at the White House, in case you had not heard, and the person in charge was a builder who had weathered one of the great disasters to hit his hometown. Turned out he had other things on his mind, both then and now. After Hurricane Sandy caused mass destruction in the Northeast, Donald J. Trump, citizen of New York, immediately took to Twitter to do his part, recognizing that circumstances required him to relax a deadline. On the table was Mr. Trump’s claim that he would donate $5 million if President Obama released his college transcript and passport — part of the stack of so-called birther provocations that rose from the bogus theories that Mr. Obama was not born in the United States. Mr. Trump peddled those lies for five years, barging into the national political conversation. (Mr. Trump, by the way, had not given $5 million to charity out of his own pocket in the previous 20 years combined, by the estimate of The Washington Post’s David A. Fahrenthold.) Even at an hour of grave calamity, Mr. Trump did not want to surrender the pedestal he had built on a racial lie. More than 100 people had died; thousands of homes, along with hospitals, police and fire stations, water treatment plants, communication hubs and power generators had been wrecked or damaged. Among the places associated with his name (though not actually owned by Mr. Trump), The Trump SoHo New York hotel had no power for four days. Casinos in Atlantic City with the Trump name out front were shut down. Many people in three buildings called, at the time, Trump Place, part of the Riverside South development that was built above a filled-in lagoon, could not go to their jobs downtown. "
12,"WASHINGTON — The two top officers aboard a destroyer during a deadly collision off the coast of Japan in June were relieved of their duties on Friday, the Navy’s Seventh Fleet said. A number of other sailors were punished for their roles in the crash. The announcement followed the release of a harrowing preliminary report on the collision between the destroyer Fitzgerald and a freighter that killed seven people aboard the American ship. It was one of the Navy’s deadliest accidents in years. The ship’s captain, Cmdr. Bryce Benson; his second-in-command; and the senior enlisted sailor were relieved of their duties by the head of the Seventh Fleet in Japan, Vice Adm. Joseph P. Aucoin. A statement from the fleet said “inadequate leadership” had contributed to the collision. The statement said a number of other sailors would face disciplinary action. A senior Navy officer said Thursday that about a dozen sailors in total would be punished, including all those on watch the night of June 17. The preliminary report described in detail the terrible moments after the collision and the rescue efforts aboard the ship. "
13,"(Want to get this briefing by email? Here’s the sign-up.) Good evening. Here’s the latest. 1. A terror attack in Barcelona, Spain, killed at least 13 people and wounded more than 80 others when a van zigzagged through a crowd at a popular tourist spot. Two people were later arrested, including a Moroccan man whose identification documents had been used to rent the van. But the police said neither was believed to be the driver, who remained at large. The Islamic State claimed that the perpetrators were its “soldiers,” adding Spain to the list of European countries — including France and Britain — where vehicles have been used in attacks on civilians. Here’s the latest news on this developing story. _____ "
14,"“I know one wealthy person,” Robert Gangi, a longtime activist in criminal-justice reform, offered the other day. Mr. Gangi, a little-known Democratic contender in New York City’s mayoral contest, one whose result seems as assured as any in a race across a pond between Michael Phelps and a small, tired farm animal, has raised more than $80,000, though all but $14,000 of it has come from his own funds. According to the rules of the New York City Campaign Finance Board, a candidate seeking public matching funds must raise at least $250,000 from donors in New York to qualify for the money it distributes; Mr. Gangi, thus, has come up considerably short. Mayor Bill de Blasio, having raised $4.8 million, mostly through small donations, has not. Although almost no one imagines he will lose, he petitioned the board for public money regardless, successfully arguing that Mr. Gangi and another opponent, Sal Albanese, presented enough of a challenge that he should receive the near $2.6 million for which he was eligible. It is as if an heiress in the midst of a divorce demanded from the courts that her husband, a bartender, start paying her alimony. Before Mr. Gangi’s bid, one he is waging out of his rent-stabilized apartment on the Upper West Side, he served as executive director of the 173-year-old Corrections Association of New York and later as a founder of the Police Reform Organizing Project. Among other initiatives, PROP, as it is known, has sent volunteer monitors into criminal courts to examine and tally the impact of arrests for low-level offenses, most of which falls on black and Hispanic communities. Mr. Gangi has argued that as long as we keep policing quality-of-life crimes in accordance with the “broken windows” approach to law-enforcement, we are essentially criminalizing skin color. Although district attorneys around the city in recent weeks have dismissed hundreds of thousands of old warrants for low-level offenses, police officers maintain the discretion to continue to make those kinds of arrests. What does it mean for the mayor to denounce bigotry and hail the city’s progressive, embracing values, as he has done since the events in Charlottesville and repeatedly during the Trump era, without calling for a dismantling of “broken windows’’ altogether? Presumably, Mr. Gangi might have posed such a question to him in a debate, but a civic forum involving the two is one we are unlikely to witness. Created in the late 1980s as a response to the corruption scandals that had plagued the city, the Campaign Finance Board also sponsors debates and has required, since 1997, that anyone receiving its funds participates in them. The intent of the original stipulation was virtuous — that taxpayers should hear from the candidates who were receiving their money. But as it works now, someone who files paperwork for the matching-funds program but fails to raise enough money is not invited, which essentially silences anyone who is inadequately networked. Next week Mr. de Blasio and Mr. Albanese will debate each other, and Mr. Gangi will have to watch them on television. "
15,"Stocks plunged on Thursday as losses for Cisco Systems hurt technology companies and Walmart declined after its latest quarterly report. Banks also dropped as bond yields and interest rates sank for a second day. It was the second-worst day for stocks in a year of few large declines. Along with technology companies and retailers, transportation companies skidded and all of the industrial, financial and basic materials companies in the Standard & Poor’s 500-stock index fell. Those sectors tend to struggle when investors are concerned about economic growth, although there were no specific signs of economic trouble on Thursday. The S.&P. 500 dropped 38.10 points, or 1.5 percent, to 2,430.01, its lowest close since July 11. The Dow Jones industrial average tumbled 274.14 points, or 1.2 percent, to 21,750.73. The Nasdaq composite index sank 123.20 points, or 1.9 percent, to 6,221.91. William Northey, chief investment officer at U.S. Bank Wealth Management, said that minutes released on Wednesday from the Federal Reserve’s policy meeting last month signaled “a little bit of a change in tone,” and suggested that the central bank was becoming more cautious about raising interest rates. That helped push long-term interest rates in the bond market lower. Lower bond yields tend to hurt banks, by preventing them from charging higher rates on loans, and benefit high-dividend stocks. Investors were also assessing the state of President Trump’s pro-business agenda as he continues to face criticism for his comments after the violence in Charlottesville, Va., on Saturday. Investors had hoped his proposals for tax cuts and infrastructure spending would strengthen corporate profits. "
16,"LONDON — At London’s flagship modern art gallery, Tate Modern, one of this summer’s most lauded exhibitions features work by African-American artists made in the age of Martin Luther King Jr. Yet, while “Soul of a Nation” is nominally a historical display, gallery goers spilling out of the show this week found an obvious contemporary resonance to the art they had just seen. “There’s still a struggle, right?” said Chris Daley, a designer, in a reference to President Trump’s remarks this week on white supremacist violence in Charlottesville, Va. “We’re still in a system where one part benefits from suppressing the other.” But though visitors to the exhibition were angered by Mr. Trump’s words, several did not see it as the turning point that it has perhaps been considered in some quarters of America. Mr. Daley, a 34-year-old Londoner, ran through a series of previous actions by Mr. Trump that he said had already highlighted the president’s position. There was the proposed wall on the Mexican border. The suggestion that some Mexican immigrants were rapists. “There’s a long list,” said Mr. Daley. “Nobody is really that surprised on this side of the pond because we’re on the outside looking in.” It is a sentiment that has been echoed in parts of the British and European commentariat. While there is plenty of outrage at Mr. Trump’s comments — Germany’s justice minister called the president’s reaction “unbearable” — many do not see this as the moment when a mask slipped. They feel it slipped some time ago. "
17,"North Korea is a true Orwellian society: The totalitarian government, currently led by Kim Jong-un, keeps its citizens disconnected from the internet and controls radio stations and newspapers, filling them with propaganda. The most minimal sign of dissent could land one in a concentration camp, as demonstrated by the case of Otto Warmbier, an American student held in North Korea for 17 months after he was charged with attempting to steal a propaganda poster. He returned to the United States this June in a coma, “unable to speak, unable to see and unable to react to verbal commands,” according to a statement from his parents; the 22-year-old died soon after. As tension between the two countries intensifies — President Trump has promised “fire and fury” should North Korea attempt an attack on the United States — below are two books that delve into the regime and life under Kim rule, while another makes policy suggestions for dealing with the nuclear threat. UNDER THE LOVING CARE OF THE FATHERLY LEADER
North Korea and the Kim Dynasty
by Bradley K. Martin
868 pp. Thomas Dunne/St. Martin’s. (2005) The Kim regime was established in 1948 by Kim Il-sung and inherited by his son Kim Jong-il, who ruled until his death in 2011, when his son Jong-un took over. This book, which took Martin 25 years to complete, draws on source material from China and Russia, as well as extensive interviews with defectors to paint a portrait of these two men. Kim Il-sung fought against the Japanese occupation in the 1930s, and came to power by creating a cult of personality that honored him as a deity. He was the country’s leading novelist, designer, philosopher and Ping-Pong trainer. North Koreans celebrated Kim’s birthday instead of Christmas, and he distributed gifts to children across the country like Santa Claus. Many genuinely revered him, but Martin argues that support has waned after his death in 1994. In his interviews, Martin learned that some North Koreans welcome the idea of a war; one defector says “people figure they will die of hunger or die in war. They’re prepared to die in a nuclear war.” THE AQUARIUMS OF PYONGYANG
Ten Years in the North Korean Gulag
By Kang Chol-hwan and Pierre Rigoulot
266 pp. Basic Books. (2005) "
18,"WASHINGTON — The nationwide push to dismantle Confederate memorials divided Congress’s most senior Democrats on Thursday, as Representative Nancy Pelosi, the House minority leader, pressed for the removal of Confederate statues from the Capitol while her Senate counterpart tried to keep the focus on President Trump’s equivocation over white nationalists. “The Confederate statues in the halls of Congress have always been reprehensible,” Ms. Pelosi said, putting pressure on the House speaker, Paul D. Ryan of Wisconsin, to act. “If Republicans are serious about rejecting white supremacy, I call upon Speaker Ryan to join Democrats to remove the Confederate statues from the Capitol immediately.” Senator Chuck Schumer of New York, the Democratic leader, took a very different tack, saying that Mr. Trump and his chief strategist, Stephen K. Bannon, were “trying to divert attention away from the president’s refusal to unequivocally and full-throatedly denounce white supremacy, neo-Nazism and other forms of bigotry.” The division highlighted how delicate the political path forward might be for Democrats after the deadly violence in Charlottesville, Va., this past weekend. While large majorities of Americans say they disagree with the beliefs of white nationalists and the Ku Klux Klan, even Democratic voters are divided over the removal of Confederate memorials. The fate of those monuments has been the focus of attention around the country after the violent white nationalist rally in Charlottesville, which protested the planned removal of a statue of the Confederate general Robert E. Lee from a city park. "
19,"With a sweeping overhaul of the tax code on the horizon, two Senate Democrats believe this is the moment to broach the third rail of climate change policy: a carbon tax. The plan by the senators, Sheldon Whitehouse of Rhode Island and Brian Schatz of Hawaii, to level a $49 per metric ton fee on greenhouse gas emissions is widely acknowledged as a long shot. But the lawmakers, along with climate activists and a cadre of conservative supporters, insist the tax reform is a way to create bipartisan support. The senators propose to use a portion of the estimated $2.1 trillion they anticipate in carbon tax revenue over the first 10 years to reduce the top marginal corporate tax income rate, something the White House has called for. They also hope to have an ally in President Trump’s economic adviser, Gary D. Cohn, who met in February with a prominent group of Republicans advocating a similar plan. No Republican lawmaker has signed on to the Senate measure. Mr. Trump, who routinely proclaims his affection for coal, during the presidential campaign flatly rejected via Twitter a suggestion that he might put a price on carbon pollution. The senators steering the effort admit they haven’t even broached a carbon tax directly with members of the administration, and the White House has distanced itself from the policy. Yet even the fiercest critics of a carbon tax say they can’t afford to dismiss the effort. “What is that Taylor Swift song? We are never, ever, ever getting back together? This is never, ever, ever going to happen,” said Grover Norquist, the anti-tax lobbyist and founder of Americans for Tax Reform. But, he added, the possibility of a carbon tax routinely re-emerges. “This time there is money for promoting that this idea might happen someday,” he said. Thomas J. Pyle, president of the Institute for Energy Research, which promotes fossil fuels, agreed. “It’s so much revenue that it’s always going to be on the table and it’s always a threat,” he said. "
20,"(Want to get this briefing by email? Here’s the sign-up.) Good morning. Before we begin, we wanted to tell you about a new feature for iPhone and iPad users. You can now set up a notification to alert you whenever a new briefing is published. Tap the bell at the top right on the home screen of The Times’s app to sign up. (Android users already have this ability.) Here’s what you need to know: • Fallout from the violence at a white supremacist rally in Charlottesville, Virginia, continues to reverberate across the United States. President Trump announced that he would dissolve two councils of business leaders after members left in protest over his defense of white nationalists. Top military leaders contradicted Mr. Trump, and some Republicans shunned him. (Meanwhile, Mr. Trump’s personal lawyer defended him with secessionist rhetoric.) Here’s how writers on the right and the left reacted to Mr. Trump’s comments. Our Upshot column looks at what survey data says about voters who first supported former President Barack Obama and then Mr. Trump. Cities across the U.S., including most recently Baltimore in an overnight operation, above, have been removing Confederate monuments like the one at the center of the protests in Charlottesville. "
21,"President Trump is rattling the rest of the world, too. Having scared a lot of people last week with his bombast over North Korea, causing jitters about nuclear war, he threatened on Friday to use force to quell chaos in Venezuela. That threat poured fuel on the worsening conflict between President Nicolás Maduro and his opponents. It also unsettled people across Latin America, which has suffered a long history of American intervention. It’s still not clear why Mr. Trump raised the subject of Venezuela in a discussion with reporters about North Korea, or what precisely he meant when he said, “We have many options for Venezuela, including a possible military option if necessary.” Still, it seemed like another instance of reckless militaristic swagger by a president whose “America First” campaign rejected foreign entanglements, yet who in seven months has carried out the country’s first missile strikes against Syrian forces and has expanded counterterrorism operations in Yemen, Somalia and Pakistan. He is also considering sending more troops to Afghanistan. Venezuela, with possibly the world’s largest oil reserves, had a chance to become one of South America’s leading democracies. Mr. Maduro turned the country into an economic basket case and himself into a dictator. He modeled himself on his left-wing predecessor, Hugo Chávez, with excessive public spending that, coupled with mismanagement and falling oil prices, was unsustainable. The inflation rate for 2017 is estimated at 720 percent, and it is believed that 80 percent of Venezuelans live in poverty, some suffering from malnutrition and full-scale hunger. More than 120 people have died in several months of protests demanding Mr. Maduro’s removal. Some analysts fear outright civil war. In this environment, Mr. Trump’s threat of military action is a lifeline for Mr. Maduro. Like other Venezuelan leaders, Mr. Maduro has used the United States to rally his people, often with specious warnings of American plots to invade. On Monday, thousands of government supporters rallied in Caracas to support Mr. Maduro and denounce Mr. Trump’s “military option.” Regional leaders also responded to his threat. Juan Manuel Santos, the president of Colombia, said on Sunday, “The possibility of a military intervention shouldn’t even be considered.” The episode appears to have set back the progress made by President Barack Obama, who strengthened ties with South America by working cooperatively to resolve regional disputes. Vice President Mike Pence, on a trip to the region, attempted to calm the outrage, saying in Buenos Aires on Tuesday that he was confident about reaching a “peaceable” solution for Venezuela through economic and diplomatic pressure on Mr. Maduro. But Mr. Pence also told NBC News on Monday, “We’re simply not going to tolerate seeing Venezuela collapse into dictatorship.” The precipitous decline of Venezuela is not just a tragedy for its people, but a threat to regional stability. Mr. Trump should continue to toughen sanctions, but any lasting solution will be achieved only in concert with regional leaders. "
22,"Donald Trump is still president. Hard to know what to do with this, people. In less than a week he’s managed to put on one of the most divisive, un-helpful, un-healing presidential performances in American history. It’s been a great stretch for fans of Richard Nixon and James Buchanan. On Wednesday Trump had to dissolve his business advisory councils because the C.E.O.s were fleeing like panic-stricken geese from a jumbo jet. We now have a president who can’t get the head of Campbell Soup to the White House. Trump also announced plans to hold a rally next week in Arizona, where he’s said he’s “seriously considering” a pardon for former sheriff Joe Arpaio, the loathsome racial profiler who never met a constitutional amendment he didn’t ignore. Arpaio’s treatment of Latinos won him a criminal contempt conviction, but of course that’s nothing to our leader. We had no idea how bad this guy was going to be. Admit it — during the campaign you did not consider the possibility that if a terrible tragedy struck the country involving all of our worst political ghosts of the past plus neo-Nazism, Marco Rubio and Ted Cruz would know the appropriate thing to say but Donald Trump would have no idea. George W. Bush would have been at the funeral for the slain civil rights demonstrator in a second. About the best Trump could do was to praise Heather Heyer’s mother, Susan Bro, for writing “the nicest things” about him. Bro did indeed express appreciation for the president’s denunciation of “those who promote violence and hatred.” That was his written-by-someone-else statement, which preceded the despicable impromptu version. We’re only safe when he’s using prepared remarks. The extemporaneous Trump’s response to the violence in Charlottesville wasn’t just tone-deaf and heartless; you had to wonder about the overall mental balance of a man who managed to both defend the alt-right demonstrators in Virginia and brag about his real estate in the neighborhood. "
