,text
10,"ATLANTA — Stacey Abrams, who won the Democratic primary for governor, was born and raised in Mississippi. But in many ways she is a product of Georgia’s capital city, which she once represented in the state House of Representatives. Atlanta is a place black people call a mecca — home to black colleges, black culture, black businesses and black political power. It is, in short, a city where a woman like Ms. Abrams — a Yale-educated, unapologetically liberal, African-American transplant — does not stand out at all. But now Ms. Abrams, the first black woman in American history to win a major political party’s nomination for governor, must run statewide in a general election against one of the two conservative white Republicans locked in a runoff battle. And the rest of Georgia is decidedly not Atlanta. While every Southern state has its liberal-leaning cities surrounded by conservative countryside — blueberries floating in tomato soup, as Rick Perry, the former Texas governor, once described Austin — the divide is particularly pronounced in Georgia because of metropolitan Atlanta’s immensity, its central role in the American civil rights movement, and the rapidly growing number of nonwhite people who have been choosing to live in the city’s sprawling suburbs, which were once destinations for white flight. The Georgia countryside certainly has swaths of racial moderation and iterations of conservatism that are detached from white grievance. But there are also political attitudes in rural Georgia, and ways of expressing them, that stand in stark contrast to a capital city that has long offered itself to the world as a beacon of racial comity. Rural Georgia is a place where the Confederate flag, for complex reasons, is still embraced by many white residents as a proud symbol of heritage. And some still display it as an overt symbol of white supremacy. "
11,"The Trump administration wants to streamline the process for exporting American firearms, a change sought for years by domestic gun companies as a way to increase sales. A proposed rule expected to be published in the Federal Register on Thursday would transfer jurisdiction of consumer gun exports from the State Department, where the licensing process is expensive and extensive, to the Commerce Department, which has a simpler application process. Publication of the rule kicks off a 45-day comment period, after which departments including State and Commerce will review corrections and suggestions and then send a revised draft to Congress before final publication. Gun industry groups said that the shift, which was first conceived during the Obama administration but halted after the Sandy Hook school shooting in 2012, would pare down a bureaucratic process that currently discourages American firearms companies from sending their products abroad. Lawrence Keane of the National Shooting Sports Foundation called the proposal “a significant positive development for the industry that will allow members to reduce costs and compete in the global marketplace more effectively, all while not in any way hindering national security.” But critics of the proposal worry that American guns, including AR-15s and similar semiautomatic rifles frequently used in mass shootings, could more easily find their way into the hands of foreign criminals. Among the reasons: a change in the disclosure rules for certain sales. The State Department is required by the Arms Export Control Act to submit any commercial arms sale worth $1 million or more to congressional review. The Commerce Department has no equivalent mandate. "
12,"As many of New York’s top Democrats gathered on Long Island on Wednesday for the party’s state convention, one prominent Democrat was noticeably absent: Mayor Bill de Blasio. Mr. de Blasio, who holds one of the most recognizable political offices in the country, and who has traveled to Iowa and other cities and states around the country to promote progressive Democratic ideals, was apparently not quite as welcome in his home state. “There was not an invitation to play a meaningful role at the convention,” he said on Wednesday at an unrelated news conference in the Bronx. “I got a lot of other good things I can do with my time and so I’m not worried about it.” The mayor did not say why he thought he had not been given a significant role, but it seemed likely that it had to do with the main attraction at the convention: Gov. Andrew M. Cuomo, who will formally receive the State Democratic Party’s backing on Thursday. Mr. de Blasio did attend the Democratic State Convention in 2014 and had a speaking role, but not a major one, said Eric F. Phillips, the mayor’s press secretary. But Mr. de Blasio and Mr. Cuomo’s relationship has grown much more difficult during that time. Over the last four years, the two men have been embroiled in a very public and nasty feud. As the state’s top elected official, Mr. Cuomo is considered the head of the New York Democratic Party. "
13,"The owners of the National Football League have concluded, with President Trump, that true patriotism is not about bravely standing up for democratic principle but about standing up, period. Rather than show a little backbone themselves and support the right of athletes to protest peacefully, the league capitulated to a president who relishes demonizing black athletes. The owners voted Wednesday to fine teams whose players do not stand for the national anthem while they are on the field. Let us hope that in keeping with the league’s pinched view of patriotism, the players choose to honor the letter but not the spirit of this insulting ban. It might be amusing, for example, to see the owners tied in knots by players who choose to abide by the injunction to “stand and show respect” — while holding black-gloved fists in the air. Or who choose to stand — while holding signs protesting police brutality. We look forward to many more meetings of fatootsed gazillionaires conducting many more votes on petty rules to ban creative new forms of player protest. Many players, African-American by and large, have been kneeling during the anthem since 2016, when the San Francisco 49ers quarterback Colin Kaepernick began sitting, and later kneeling, during the ceremony to protest racism and police brutality. Many football fans and team owners thought Mr. Kaepernick was showing disrespect for the flag, or even for the military, as though the Stars and Stripes were a battle standard and the football field a hallowed battleground. The owners responded in the grand old American tradition of blackballing people you disagree with. "
14,"After the school shooting last Friday in Texas claimed 10 lives, the incoming president of the National Rifle Association, Oliver North, blamed not guns but a “culture of violence” arising from violent movies and the like. North fueled that culture by working as a pitchman for a shoot-em-up video game, but never mind. Meanwhile, Dan Patrick, the Republican lieutenant governor of Texas, was even more imaginative: He blamed too many school entrances and exits, and liberal abortion laws that he claimed had “devalued life.” Really? Folks, look at Japan. Japanese kids relish the same violent entertainment as Americans, and abortion is widely available. Yet at most nine Japanese were murdered with guns across the entire country in all of 2016 — fewer than the 10 killed just last week at the Texas high school. One reason Americans in their late teens are 82 times more likely to be murdered with guns than their peers in other advanced nations is simply that we are awash with guns, some 300 million of them. Yet Congress and President Trump have been paralyzed in part because of the N.R.A. refrain: There’s nothing to be done! It’s us, not the guns. It’s hopeless! In fact, there’s plenty we can do. Here are modest steps consistent with the Second Amendment and public opinion: 1. Require universal background checks to see if a purchaser is a felon or a threat to others. The latest study finds that 22 percent of guns are obtained in the U.S. without a background check, and polls find that more than 90 percent of the public supports making these checks universal. Yet the federal government balks. "
15,"It’s not every day we start our discussion of current events with the president’s sex life. Well, actually, it’s gotten to be pretty frequent. But today we’re going to talk less about what Donald Trump does in bed and more about his efforts to interfere with other people’s intimate affairs. “When I ran for office, I pledged to stand for life. And as president, that’s exactly what I’ve done,” he told a cheering anti-abortion crowd Tuesday night. Abortion opponents like to call themselves “pro-life,” but the Trump administration has gone further than simply making it more difficult for women to terminate a pregnancy. Trump’s had a virtual war on birth control, beginning with an attempt to eliminate the rule that employer health insurance cover contraceptives. Now he’s built a Department of Health and Human Services that wants to promote family planning methods that involve … not having sex. And he’s come a long way from the guy who once told a national TV audience that he was “very pro-choice.” Although to be fair, that was way back in 1999, when he was still in his 50s and presumably hadn’t had time to work out a mature position on the subject. Ever since he came into office, Trump has been letting right-wing activists run federal family planning programs. They’re at war with Planned Parenthood, which doesn’t get any government money for abortions. But it does provide reproductive health services to an enormous number of low-income women under the federal Title X program. Under a  new rule, the doctors and nurses would have to refuse to even answer patient questions about how to terminate a pregnancy. That’s not going to happen and we’ll see this one in court. Meanwhile, clinics with very conservative views can edit down their information and eliminate any discussion of, say, IUDs. Or just restrict the conversation to abstinence. Yes, a Donald Trump presidency is pushing a no-sex agenda. Cue the irony. "
16,"SEOUL, South Korea — North Korea said on Thursday that it would have second thoughts about a summit meeting between its leader, Kim Jong-un, and President Trump if American officials continued to make what the North considers threats against its leadership. The North Korean official who issued the warning singled out Vice President Mike Pence for remarks that she called “ignorant and stupid.” In an interview broadcast on Monday on Fox News, Mr. Pence warned that North Korea’s government could end up like that of Col. Muammar el-Qaddafi, the former Libyan leader. Mr. Qaddafi gave up his nascent nuclear program in the apparent hopes of staving off Western intervention and sanctions, and of negotiating economic integration with the West. But little of that happened, and years later he was killed by rebels after he was weakened in a military action against Libya by the United States and its European allies. In a statement carried by the North’s official Korean Central News Agency on Thursday, the North Korean official, Vice Foreign Minister Choe Son-hui, referred to “unlawful and outrageous acts” by top American officials and said that Mr. Pence had made “unbridled and impudent remarks that North Korea might end like Libya.” Ms. Choe’s comment was the second time in a week that North Korea has threatened to withdraw from Mr. Kim’s planned summit meeting with Mr. Trump, which is slated for June 12 in Singapore. “As a person involved in the U.S. affairs, I cannot suppress my surprise at such ignorant and stupid remarks gushing out from the mouth of the U.S. vice president,” Ms. Choe said. “In case the U.S. offends against our good will and clings to unlawful and outrageous acts, I will put forward a suggestion to our supreme leadership for reconsidering the D.P.R.K.-U.S. summit.” "
17,"By blocking users on Twitter, President Trump has violated the First Amendment, a federal judge ruled on Wednesday. The lawsuit was brought by seven Twitter users — including a Texas police officer, a New York comedy writer and a Nashville surgeon — who claimed that Mr. Trump’s Twitter feed was an official government account and that preventing users from following it was unconstitutional. In her ruling, Judge Naomi Reice Buchwald wrote that the plaintiffs who sought to view and engage with Mr. Trump’s tweets alongside those who were not restricted were “protected by the First Amendment.” The judge, though, did not require the president or Twitter to unblock anyone. The number of users blocked from the president’s account @realDonaldTrump, which has more than 52 million followers, is known only to Mr. Trump, to those who have access to his account and to Twitter. On Wednesday, a spokeswoman for Twitter said that the company would not comment on the ruling, and stressed that Twitter was not a party to the lawsuit on either side. The Knight First Amendment Institute at Columbia University, which joined the plaintiffs in the suit, posted personal statements from some of them on its website, including one from Rebecca Buckwalter-Poza, a legal analyst from Washington. "
18,"HONG KONG — Canada has blocked a $1 billion takeover of a construction company by a state-controlled Chinese company over national security concerns, a rare move by a government that until now has largely welcomed such deals despite growing skepticism over Chinese money elsewhere. The government of Prime Minister Justin Trudeau said late on Wednesday that it stopped the deal for the Aecon Group, a construction company that helped to build the landmark CN Tower in Toronto, following a review that began earlier this year. The deal became politically charged after members of Canada’s opposition party raised concerns about Aecon’s access to government contracts — particularly in the nuclear power industry — and the Chinese company’s ties to the Chinese state. “As is always the case, we listened to the advice of our national security agencies throughout the multistep national security review process under the Investment Canada Act,” Navdeep Bains, the Canadian minister of innovation, said in a statement. A spokeswoman for Aecon said the company was “aware of the government’s decision and will be issuing a response in due course.” Chinese companies are increasingly facing hurdles as they go overseas to spread their wealth and acquire technology. Governments from Germany to the United States and Canada are pushing back, often citing national security concerns. "
19,"(Want to get this briefing by email? Here’s the sign-up.) Good morning. A new government for Italy, a surprise appearance in Britain and a sex law in Sweden. Here’s the latest: • Of all the questions hanging over Robert Mueller’s Russia investigation, one stands out: How will President Trump fare in the end? Here are several possible outcomes. An indictment while Mr. Trump is in office would be the most aggressive option, but it has grown increasingly unlikely. In a series of Twitter posts on Wednesday about the Russia investigation, Mr. Trump repeated allegations that federal investigators had used spies against his campaign. He gave the supposed scandal a name: “SPYGATE.” Meanwhile, a judge ruled that the president’s Twitter feed is a public forum and that he cannot block anyone from following him. And the president’s son-in-law and White House adviser, Jared Kushner, has been granted a permanent security clearance after a lengthy process that fueled speculation over his Russia contacts. "
20,"Marcus J. Molinaro, a moderate county executive from the Hudson Valley, was formally designated on Wednesday as the Republican Party’s choice to unseat Gov. Andrew M. Cuomo, a two-term Democrat, in November. His task will be daunting: The last time a Republican captured a statewide office in New York was in 2002, when George E. Pataki won his third and final term as governor. But Mr. Molinaro is no stranger to political upheaval; at 19, he was elected mayor of the village of Tivoli, making him the youngest such official in the nation. He then ascended to county legislator, state assemblyman and, finally, Dutchess County executive. As Mr. Molinaro addressed Republican committee members assembled at the party’s quadrennial convention in Midtown Manhattan, he quoted Theodore Roosevelt and reached across party lines to beckon to Democrats and independents — a necessity given that Democrats outnumber Republicans by more than 2 to 1 in the state. But he also took care to rip into Mr. Cuomo, alluding to the presidential aspirations and transactional politics that have quickly become his favorite talking points. "
21,"WASHINGTON — Secretary of State Mike Pompeo skirmished with a senior House Democrat on Wednesday in a bitter back-and-forth over his treatment of Hillary Clinton in the aftermath of a 2012 deadly attack on a diplomatic compound in Benghazi, Libya. The striking exchange in front of the House Foreign Affairs Committee — over the security of diplomats abroad — came during Mr. Pompeo’s first Capitol Hill appearance since taking over the State Department. It bared the simmering but fierce partisanship on a House committee that prides itself on being among the most evenhanded panels in Congress. And it was a reminder that while Mr. Pompeo now largely projects an image of moderation as the United States’ chief diplomat, he was once one of the most partisan warriors in Washington. The hearing touched on a range of foreign policy issues and hot spots — including North Korea, Iran and South Sudan — and Mr. Pompeo displayed a deep knowledge on most subjects and candidly admitted when he did not know an answer. He came to the hearing with a “to do” list of 22 items that photographers captured. Ninth on the list was “Call Lavrov,” most likely referring to Foreign Minister Sergey V. Lavrov of Russia. “Carlos Slim,” the Mexican billionaire, was the 11th item. "
22,"WASHINGTON — The F.B.I. came under fire from electronic privacy and security advocates on Wednesday after acknowledging that it has repeatedly exaggerated the number of locked smartphones and other mobile electronic devices it has been unable to access because of encryption, including in congressional testimony and public speeches. The miscount, which the bureau said was because of an inadvertent programming error in a system that gathered statistics from F.B.I. databases, was a significant embarrassment at a time when the bureau has been pushing for a legal mandate that tech companies build unlocking tools into such devices for law-enforcement access to potential evidence. Electronic privacy and security activists have opposed the F.B.I.’s push to mandate an unlocking mechanism — which the government calls “extraordinary access” and critics call “back doors” — saying it would make devices too vulnerable to hacking. Among those who seized on the disclosure to rain criticism down upon the bureau was Greg Nojeim, director of the Center for Democracy and Technology’s Freedom, Security, and Technology Project. “The factual basis of the F.B.I.’s arguments to weaken encryption has been called into doubt,” Mr. Nojeim said, calling for an investigation by the Justice Department’s internal watchdog. Kevin Bankston, director of New America’s Open Technology Institute, questioned the F.B.I.’s competence and trustworthiness on encryption. He, too, called for an inspector general investigation to determine “just how the F.B.I. could have made such a massive mistake on such an important issue, and repeatedly given false information in sworn testimony for Congress.” The F.B.I. said it was conducting its own “in-depth review of how this overcounting previously occurred, and how the methodology can be corrected to capture future data accurately.” "
23,"The N.F.L. tried to straighten up its messy bed. Now it will see how sleeping in it goes. After nearly two years of hand-wringing, the league’s 32 owners decided on Wednesday to overhaul N.F.L. policy on protocol for the national anthem. At their two-day meeting in Atlanta, the owners said that the league would allow players to stay in the locker room during the playing of “The Star-Spangled Banner,” but said that teams would be fined if players “do not stand and show respect for the flag and the anthem.” Then there is this hammer: Those teams can then punish players however they see fit. “It was unfortunate that on-field protests created a false perception among many that thousands of N.F.L. players were unpatriotic,” Commissioner Roger Goodell said, explaining the need for the new policy. “We believe today’s decision will keep our focus on the game and the extraordinary athletes who play it — and on our fans who enjoy it.” Yet the rule change figures to go a long way toward pleasing no one — least of all the players. In a text message sent as the owners voted, George Atallah, assistant executive director for external affairs for the N.F.L. Players Association, made it clear the new rule was “not a compromise.” “We were not consulted or included,” he wrote. The league has set itself up to take criticism both from those who want it to require that all players stand for the national anthem — including President Trump — and those who feel the league is trying to silence players who have chosen that moment to protest social injustice. In a statement released after the vote, the players’ union said, “The vote by the N.F.L. club C.E.O.s today contradicts the statements made to our player leadership by Commissioner Roger Goodell and the Chairman of the N.F.L.’s Management Council, John Mara, about the principles, values and patriotism of our league.” The new protocol also may lead to a host of challenges and recriminations if players decide to test the limits of the rules, and their owners’ tolerance. Giving clubs the authority to punish players sets up a situation where players in Seattle or Philadelphia may have one set of workplace rules while those in Houston or Dallas may have another. "
24,"Stacey Abrams is flying high. The former Georgia state legislator secured the Democratic Party’s nomination for governor Tuesday evening, making her the first black woman in the United States to secure a major party’s nomination for governor.   Ms. Abrams’s triumph has been hailed as a potentially transformative moment for a party that is still searching for its soul in the era of President Trump,  but she still has a difficult road to securing a general election victory in a deeply conservative state. Georgia hasn’t had a Democratic governor since 2003. On Wednesday morning, just hours after her victory party in downtown Atlanta, Ms. Abrams spoke to The New York Times about her win, her vision for the state, what it means to be a “progressive” in Trump’s America, and her love of romance novels. Some responses have been edited and condensed. There’s obviously a historic aspect to this. You’re the first black woman to be nominated for governor by a major party. How does the weight of that history feel? I am humbled by the opportunity to, you know, sort of tile this ground for folks. But I'm also excited about what it means for everyone who has yet to see themselves reflected in leadership in America. And my goal is to make certain everyone has a seat at the table and that folks can see themselves and their values reflected in our government. Much has been made about how this primary was a bellwether for the current state of the Democratic Party. What do you think your win says about where Democrats are right now? "
25,"Seeking to end a political controversy that has embarrassed professional football, the N.F.L.’s team owners on Wednesday held that players could no longer kneel during the national anthem without leaving themselves open to punishment or their teams facing possible financial penalties. But the league also said the new policy would not force athletes to stand on the sideline during the anthem; it would give them the option of staying in the locker room during the pregame ceremony. Almost immediately after passage, questions arose about how it would be enforced. The policy is an attempt to find a middle ground on a divisive issue that has shaken the country’s most successful sport for nearly two years, beginning when the former San Francisco 49ers quarterback Colin Kaepernick knelt during the national anthem to protest police violence against minorities and economic inequality. President Trump escalated the issue a year later as he attacked kneeling players as unpatriotic, a stand that is believed to have contributed to a decline in television ratings. [Ken Belson writes “the N.F.L.’s new anthem policy is bound to please only the N.F.L.”] Roger Goodell, the commissioner of the N.F.L., said the protests, which began in the summer of 2016, created a “false perception among many that thousands of N.F.L. players were unpatriotic.” He added, “The new policy will keep our focus on the game and the extraordinary athletes who play it — and on our fans who enjoy it.” But if the N.F.L. had hoped to quiet the debate, instead people on opposite sides appeared to dig in further after Wednesday’s announcement. Trump said he was pleased with the N.F.L.’s new policy, but said he did not think the players should even be staying in the locker room in protest. "
