,text
10,     
11,"BRUSSELS — A Belgian official’s decision to expel several Sudanese migrants late last year — several of whom say they were tortured when they went back home — has roiled Belgium’s politics, reflecting not only the fraught migration debate in Western Europe but also the divisions that have made the country notoriously difficult to govern. The official, Theo Francken, is a 39-year-old Flemish nationalist who in 2014 was appointed secretary of state for asylum and migration. He is known for making incendiary comments about migrants; in September, he apologized for using the term “cleaning up” about a police operation in which several undocumented immigrants were arrested. The term was condemned as xenophobic. Supporters and critics alike have called Mr. Francken “the Flemish Trump.” Last September, Mr. Francken invited several Sudanese officials to Belgium to review the cases of dozens of Sudanese people who were in the country without authorization. The decision outraged advocates for the migrants, who pointed to Sudan’s abysmal human rights record and the fact that its president, Omar al-Bashir, is wanted by the International Criminal Court for trial on war crimes and genocide charges. Representatives of the Belgian government were present during most of the interviews, but were not always accompanied by Arabic-language interpreters, raising the possibility that they did not follow all of what was said. Lawyers for the migrants said the Sudanese officials warned that if the migrants applied for asylum in Belgium but were denied and sent home, they would be targeted for abuse. Nine Sudanese were subsequently sent home, and accounts quickly surfaced that at least three of them, from the violence-prone Darfur and South Kordofan regions, were abused. The accounts appeared in the Belgian media and in interviews conducted by the Tahrir Institute for Middle East Policy, a Washington-based think tank. In the interviews, the men said they had been detained, interrogated, threatened with persecution, and beaten or even tortured. "
12,   
13,"Since last Sunday’s Golden Globes, the question of what to wear to the various awards shows has become even more fraught than usual. It’s not just about a pretty dress any more, but about solidarity, statement making and so on. Luckily, however, a solution to at least one such conundrum is at hand. Though there is as yet no official ceremony or red carpet attached to President Trump’s Fake News awards, scheduled to take place next Wednesday (after being postponed from Monday), anyone who suspects that he or she may be in the cross hairs, has a perfect potential outfit. Or at least part of one. Topshop, the British retailer, has created a pair of jeans in semi-stretch denim, with a red stripe down the side blaring, “Fake News” over and over again in white block letters. They look rather like a nod to artwork by Barbara Kruger. Just imagine them with a tuxedo jacket and heels instead of the sweatshirts they are paired with on Topshop’s website, and bingo! “The term ‘Fake News’ became so ubiquitous last year that it was officially named the word of the year, so we thought we’d immortalize this of-the-moment phrase on a pair of our jeans,” said Mo Riach, Topshop’s head of design, by way of explanation. (“Fake News” was chosen as the word of the year for 2017 by both the Collins English Dictionary and the American Dialect Society, in case you were wondering.) The jeans, which cost $90 and come in gently faded denim with a mid-rise and straight legs, were a trending product on the brand’s website by Tuesday, with 30 percent of the sales originating in the United States. By Wednesday, they were sold out. "
14,"President Trump is crashing the global elite’s ultimate party: He’s planning to attend the World Economic Forum’s annual gathering in Davos this month, the White House confirmed on Tuesday. It’s hard to imagine an audience less receptive to Mr. Trump’s “America First” agenda. Yet, whether he is seeking reconciliation or pitching for strongman status, his mere presence is a rebuke to the elites who got him badly wrong. Mr. Trump will stand out among the 3,000-odd political leaders, financiers and company executives due to convene in the Swiss resort on Jan. 23. His threats to raise barriers to the movement of goods and people, his rejection of the Paris climate change accord and his belligerence toward North Korea have convinced the gathering’s wealthy and mostly liberal delegates that the United States is giving up on global leadership. Indeed, this year’s Davos theme — “Creating a shared future in a fractured world” — seems an attempt to mitigate Mr. Trump’s influence. The self-proclaimed billionaire will be the first sitting United States president to attend the gathering since Bill Clinton in 2000. Just as President Richard M. Nixon’s right-wing credentials made it possible for him to visit Communist China, Mr. Trump’s anti-globalization stance has enabled him to risk a trip to the European mountain resort. Imagine the vitriol that Barack Obama would have endured at home if he had put in an appearance. What Mr. Trump hopes to achieve is less clear. There will be optimism that his visit is a sign that White House moderates have gained the upper hand. Even so, it is hard to imagine Mr. Trump giving a conciliatory speech or defending globalization, as the Chinese leader, Xi Jinping, did last year. It’s more likely that he will be party pooper in chief, reasserting his isolationist policies while reminding the crowd of what it failed to foresee. At Davos two years ago, delegates dismissed Mr. Trump’s chances of winning the presidential election. A year later, attendees talked up his pragmatic deal-making credentials — only to watch Mr. Trump’s dark and foreboding inaugural address. The Davos crowd does not object to autocrats: Mr. Xi and Vladimir V. Putin of Russia have received applause in previous years. Prime Minister Narendra Modi of India, another nationalist, will deliver this year’s keynote speech. Ultimately, Mr. Trump will not be that different to the other wealthy attendees on the ski slopes, debating what the masses really think. "
15,      
16,"For nearly a decade, central banks around the world have been the biggest buyers of bonds, sending interest rates plummeting and stock markets soaring. Now, investors are starting to worry about what would happen if the richest nations start to scale back on a buying binge that most of them began to stimulate economies hurt by the global financial crisis. The most immediate fear: A sharp falloff in bond prices would rattle equity markets that are now trading at record highs. Beyond that, there is a looming concern that as the global economy heats up, inflation, a bond investor’s main worry, will start to inch up, fed by higher wage demands on the part of workers everywhere. “Your largest investor might be stepping back, that’s what spooked people,” said John Briggs, a bond strategist at NatWest Markets. “The market is very vulnerable to any change in supply and demand.” That vulnerability has been on display in recent weeks, with many investors selling out of their bond positions, pushing the yield — which rises as bond prices fall — on the benchmark 10-year United States Treasury bill up to a high of 2.59 percent on Wednesday from 2.3 late last year. Bond markets appeared to be further spooked on Wednesday by a report that China’s central bank, which owns $1.2 trillion in United States Treasury bonds, may be poised to slow or even halt its buying of United States debt. China has total reserves of just over $3 trillion. "
17,"Our subject today is Donald Trump’s mind. Not the speculation about whether he’s losing his marbles. That was during our “Fire and Fury” period last week. Now we’re thinking about that lovely bipartisan meeting the president hosted Tuesday with members of Congress about immigration. Everybody was impressed by how concerned Trump seemed to be about all the young Dreamers suddenly facing possible deportation. “I came out feeling the president had made it very clear he wants this resolved ASAP,” said Steny Hoyer, the House Democratic whip. The only problem is that Trump seems to be committed to two totally contradictory ideas on what to do. Is he being your typical pol? Your typical loony person? Something in between? Let’s revisit. Right now the real immigration crisis is about the 800,000 young people who were brought here illegally as children and given protection under the Obama administration. Trump hates calling them Dreamers, so he refers to them as “the DACA population,” after the Deferred Action for Childhood Arrivals program that protected them. Until he terminated it. They could be in danger of deportation beginning in March. The Tuesday Trump was very disturbed about this situation. Really, you’d hardly have known that he was the one who created it. He called for “a bill of love” to make things right. The fix is actually pretty easy. There’s a bipartisan bill floating around the House right now that would protect the Dreamers from deportation and add more money for technology to guard the border. Then later on, if it’s feeling ambitious, Congress could tackle a big immigration reform. That would include a path to citizenship for many of the illegal immigrants here now and some sops to conservatives, like restrictions on their ability to bring in relatives. And yeah, maybe some wall equivalent. We don’t need to discuss that now. The Dreamers are an immediate crisis. But even if you thought building a monstrous multibillion-dollar barrier along the border was a good idea, it’s not something that’s going to happen anytime soon. Here is the current vision in the president’s mind: “We don’t need a wall where you have rivers and mountains and everything else protecting it,” he told that congressional meeting. “But we do need a wall for a fairly good portion. We also — as you know, it was passed in 2006 — a essentially similar thing which — a fence, a very substantial fence was passed. But unfortunately, I don’t know, they never got it done. But they need it.” So, O.K. Senator Dianne Feinstein proposed doing “a clean DACA bill now” followed by a major immigration reform later. Trump thought that was a great idea. “We’re going to do DACA,” he announced, “and then we can start immediately on the phase two, which would be comprehensive.” So easy, so bipartisan, so … bill of love. “We’re on the same page,” Trump told the gathering. “We are, we are,” said Representative Henry Cuellar of Texas, a Democrat who had been arguing strenuously against the wall idea. Then Wednesday the president shouted “No! No! No!” when asked if he’d be open to any deal on the immediately endangered Dreamers that didn’t also involve his Mexican wall. This was at an appearance with the poor prime minister of Norway, who had to look sympathetic when Trump managed to find ways — in a rather short press conference — to brag about the American trade surplus with her country, say “no collusion” seven times, brag about winning the Electoral College and attack Hillary Clinton. (“But Hillary was not for a strong military, and Hillary, my opponent, was for windmills. …”) Plus torpedo the DACA plan. So Trump, who told those Congress members he would “take the heat” for anything they wanted to do to save the Dreamers, threw up a wall. How do we explain all this? A) Situational ethics. B) Extreme dementia. C) Just another day. Here’s an answer. We are well aware by now that there are several incarnations of the president, from the Somewhat Normal Republican Trump (SNORT) to the Nearly Unhinged Trump (NUT). The one we saw at the bipartisan meeting was the Reasonable Chatty Trump, whose pleasant disposition makes up for the fact that the initials don’t spell anything. The Reasonable version can sit through a fairly long gathering nodding, agreeing, making the occasional joke and appearing to be an excellent listener. When he’s actually not paying any attention at all. What do you think was actually on Trump’s mind when Feinstein asked that question? A) Picturing Steve Bannon curled up in the fetal position, crying under his bed. B) Imagining the networks swooning over his warmhearted concern for those … DACA persons. C) Just cheeseburgers. Your guess is as good as mine. But the great part of this tactic is that everybody walks away feeling they’ve made a real impression. Until it becomes clear that nothing ever sinks in. "
18,      
19,"WASHINGTON — Prominent House Republicans stepped forward on Wednesday with a vision of immigration policy that clashed fiercely with President Trump’s recent overtures of bipartisanship and highlighted how difficult it will be for Congress and the president to reach accord in the coming weeks. The proposal, championed by the chairmen of the House Judiciary and Homeland Security Committees, would crack down on illegal immigration and sharply reduce the number of legal immigrants to the United States. Coming one day after Mr. Trump held an extraordinary meeting in which he laid out the parameters for a bipartisan immigration deal, the House proposal highlighted the uncertainty surrounding negotiations that are supposed to coalesce before the government runs out of money on Jan. 19. “This is the only bill that’s going to unify the conference, and it’s going to get us to a majority of the conference,” said Representative Raúl R. Labrador, Republican of Idaho, a member of the conservative House Freedom Caucus who participated in Tuesday’s White House meeting. Mr. Trump convened Tuesday’s session to address the fate of young undocumented immigrants who were brought to the United States illegally by their parents and were eligible for work permits under an Obama-era initiative called the Deferred Action for Childhood Arrivals program, or DACA. Mr. Trump rescinded DACA in September and gave Congress six months to come up with a replacement. During Tuesday’s session, the president and lawmakers outlined four broad areas to be negotiated as part of a bipartisan immigration deal: shielding the young undocumented immigrants, known as Dreamers, from deportation; limiting family-based migration, in which one relative can sponsor another; ending the diversity visa lottery system; and improving border security. But the House measure, put forth by a group that includes two committee chairmen — Judiciary’s Robert W. Goodlatte of Virginia and Homeland Security’s Michael McCaul of Texas — was far more expansive. "
20,"A Wisconsin school district has agreed to pay $800,000 to settle a lawsuit filed by a transgender student who said he was forbidden from using boys bathrooms at his high school and felt degraded by administrators. The decision by the school board for the Kenosha Unified School District means that the matter will not be taken up by the United States Supreme Court. The lawsuit was filed in 2016 by Ashton Whitaker, who was a rising senior at the time at George Nelson Tremper High School in Kenosha, a city on Lake Michigan. Court documents show that Mr. Whitaker, 18, who graduated last year and is now a freshman at the University of Wisconsin-Madison, began to openly identify as a boy when he was a freshman at the high school. After teachers and administrators there told him he could not use the boys restrooms, he sued the school district. “The idea of using the girls restroom was humiliating and there was no way I could do it,” he said in a court document filed in August 2016. “If I were to use the gender-neutral restrooms, I would also stand out from everyone else with a big label on me that said ‘transgender.’” He described feeling “scrutinized and degraded” when administrators repeatedly tried to keep him out of the boys restrooms, or when they used female pronouns after he had asked them not to. He added that he suffered from anxiety, depression, migraines and other health problems related to dehydration because he had tried to avoid restroom trips by drinking less water. "
21,"FRONT PAGE Because of an editing error, a picture caption on Wednesday with an article about a meeting of President Trump and members of Congress on immigration referred incorrectly to the televising of much of the session. It was not shown live. INTERNATIONAL An article on Wednesday about protests in Tunisia misstated the education level of Mohamed Bouazizi, a produce vendor whose self-immolation in December 2010 set off protests that toppled the government of Zine el-Abidine Ben Ali in early 2011. He was a high school dropout, not a college graduate. • The Inside The Times column on Monday about the work of two photographers covering the Rohingya crisis in Myanmar and Bangladesh misstated the location of Teknaf Road. It is in southeast Bangladesh, not southwest Bangladesh. NATIONAL An article on Wednesday about lawsuits filed against Fusion GPS and BuzzFeed by President Trump’s lawyer, Michael D. Cohen, misstated when Mr. Cohen said he was suing BuzzFeed. It was Tuesday, not Thursday. • An article on Wednesday about President Trump’s meeting with congressional leaders to discuss immigration misidentified the room of the White House where the meeting was held. It was the Cabinet Room, not the Roosevelt Room. • Because of an editing error, an article on Wednesday about President Trump’s first comprehensive physical examination as president misstated the year in which a doctor said Mr. Trump would be the “healthiest individual ever elected” to the office of the president. It was 2015, not 2016. SPORTS An article on Wednesday about the end of the college football championship game misstated when Tua Tagovailoa first drove Alabama to a touchdown in the game. It was his second possession, not his first. SCIENCE TIMES A picture caption with an article on Tuesday about efforts to scan and read a damaged biblical text misstated the given name of an individual aiding with the effort. He is Seth Parker, not Sean. THE ARTS An article on Wednesday about a dispute over ownership of the playwright Arthur Miller’s estate misidentified the publisher of a forthcoming volume of selections from Mr. Miller’s diaries. It is Viking Books, not Penguin Press. (Both are imprints of the Penguin Publishing Group, a division of Penguin Random House.) OBITUARIES An obituary on Wednesday about the French pop singer France Gall misstated the year her husband, the songwriter Michel Berger, died. It was 1992, not 1991. Errors are corrected during the press run whenever possible, so some errors noted here may not have appeared in all editions. To contact the newsroom regarding correction requests, complaints or other comments about our coverage, please email nytnews@nytimes.com or call 1-844-NYT-NEWS (1-844-698-6397). Comments on editorials may be emailed to letters@nytimes.com or faxed to (212) 556-3622. For newspaper delivery questions: 1-800-NYTIMES (1-800-698-4637) or email customercare@nytimes.com. "
22,      
23,"WASHINGTON — The European Union is the West’s last line of defense. The United States has historically been the world’s anchor of republican ideals, but President Trump has abandoned the role, openly admiring strongmen like Vladimir Putin of Russia. As the temptations of nationalist populism spread, Europe has responsibility for holding down the Western fort. The primary battle right now is over Poland, which is deepening its descent into illiberalism. The European Union needs to take a firm stand in defense of Western values. Since coming to power in 2015, Poland’s populist government has sought to control the news media, purged and politicized the civil service, and intimidated intellectuals and civil society organizations. Three weeks ago, Poland’s president signed into law legislation that compromises judicial independence, effectively clearing the way for the ruling Law and Justice party to stack the courts. In response, Brussels has taken the right steps, warning Warsaw of punishment if it continues to pursue policies inconsistent with the European Union’s founding principles, which include “democracy, equality, the rule of law and respect for human rights.” In late December, the European Commission for the first time in the union’s history started a formal procedure that could lead to disciplinary sanctions, including the suspension of Poland’s voting rights in the European Union’s main decision-making body. These measures have not gone unnoticed in Warsaw. This week, Prime Minister Mateusz Morawiecki reshuffled his cabinet, replacing a number of ministers whose relationships with European leaders were particularly strained. And he flew to Brussels for dinner with Jean-Claude Juncker, the president of the European Commission. But these moves have yet to be accompanied by any concrete steps to reverse Poland’s illiberal turn. The European Union must keep the pressure on. Poland’s trajectory is not unique within the bloc. Hungary has already gone down a similar path, and other member states in Central Europe are tilting in the same direction. But Poland’s descent is particularly consequential: With a population of almost 40 million, it is Central Europe’s standard-bearer. Poland’s leading role in the collapse of the Soviet bloc makes its illiberal slide all the more arresting. In the early 1980s, the Solidarity labor movement inspired widespread resistance to Poland’s Communist government, setting the stage for the broader revolt across Central Europe that brought down the Berlin Wall in 1989. After the collapse of the Soviet bloc, Poland was at the forefront of the transition from Communist satellite to market democracy, joining NATO in 1999 and the European Union in 2004. "
